jd_id,职位名,系统岗位,系统置信度,系统等级,等级依据,映射正确?(对/错),修正岗位,等级正确?(对/错),修正等级,备注
51job:161291460,产品经理,AI产品经理,0.7,UNKNOWN,无信号,,,,,
51job:158252341,大模型算法工程师,大模型算法工程师,1.0,UNKNOWN,无信号,,,,,
51job:167723860,博士后（农业大模型或高光谱）,大模型算法工程师,0.7,UNKNOWN,无信号,,,,,
51job:168554917,大模型/智能体工程师,大模型算法工程师,0.7,UNKNOWN,无信号,,,,,
51job:169166573,AI产品经理,AI产品经理,1.0,UNKNOWN,无信号,,,,,
51job:169551695,AI大模型算法工程师,大模型算法工程师,1.0,UNKNOWN,无信号,,,,,
51job:169861700,AI产品经理-26校招(J78207),AI产品经理,1.0,L1,经验要求:在校生/应届生,,,,,
51job:169590181,机器学习工程师（物理仿真）(J10037),NLP/多模态研究员,0.7,UNKNOWN,无信号,,,,,
51job:170053129,AI产品经理,AI产品经理,1.0,UNKNOWN,无信号,,,,,
51job:170101146,AI产品经理,AI产品经理,1.0,UNKNOWN,无信号,,,,,
51job:170289170,AI智能体开发工程师,AI Agent开发工程师,0.7,UNKNOWN,无信号,,,,,
51job:170569890,嵌入式影像开发实习生-移动OS,嵌入式AI工程师,0.7,L1,职位名:实习,,,,,
51job:170486111,AI算法工程师（产业大数据方向）,大数据工程师,0.7,UNKNOWN,无信号,,,,,
51job:170770580,AI Agent 开发实习生,AI Agent开发工程师,0.7,L1,职位名:实习,,,,,
51job:171271385,AI大模型应用开发工程师,大模型算法工程师,0.7,UNKNOWN,无信号,,,,,
51job:171251713,AI产品经理,AI产品经理,1.0,UNKNOWN,无信号,,,,,
51job:171150822,应届生-智能体开发工程师-杭州,AI Agent开发工程师,0.7,L1,经验要求:在校生/应届生,,,,,
51job:171666434,数据分析师,数据分析师(AI增强),1.0,UNKNOWN,无信号,,,,,
51job:171900881,AI大模型研发工程师,大模型算法工程师,0.7,UNKNOWN,无信号,,,,,
51job:171958675,豆包AI大模型产品实习生-Data AML,大模型算法工程师,0.7,L1,职位名:实习,,,,,
51job:172027461,实习生-AI产品经理助理实习生-武汉,AI产品经理,1.0,L1,职位名:助理,,,,,
51job:172031199,AI大模型工程师,大模型算法工程师,0.7,L1,经验要求:在校生/应届生,,,,,
51job:172167131,Python智能体开发工程师,AI Agent开发工程师,0.7,UNKNOWN,无信号,,,,,
51job:172167371,AIGC导演,AI创意策略师,0.7,UNKNOWN,无信号,,,,,
51job:172319480,具身智能产品经理,AI产品经理,0.7,UNKNOWN,无信号,,,,,
51job:172331262,实习_多智能体研发工程师,AI Agent开发工程师,0.7,L1,职位名:实习,,,,,
51job:172331243,实习_Agent研发工程师,AI Agent开发工程师,0.7,L1,职位名:实习,,,,,
51job:172348483,Agent开发实习生-中国交易与广告,AI Agent开发工程师,0.7,L1,职位名:实习,,,,,
51job:172560012,大模型开发实习,大模型算法工程师,0.7,L1,职位名:实习,,,,,
51job:172789342,骑行-数据开发工程师,大数据工程师,0.7,UNKNOWN,无信号,,,,,
51job:172791400,AI大模型算法工程师,大模型算法工程师,1.0,UNKNOWN,无信号,,,,,
51job:172821721,Python智能体开发工程师（实习岗）,AI Agent开发工程师,0.7,L1,职位名:实习,,,,,
51job:172859717,博士后--农业大模型方向,大模型算法工程师,0.7,UNKNOWN,无信号,,,,,
51job:173146990,AI产品经理 / AI产品助理,AI产品经理,1.0,L1,职位名:助理,,,,,
51job:173219809,大模型算法工程师,大模型算法工程师,1.0,UNKNOWN,无信号,,,,,
51job:173290176,大模型算法工程师,大模型算法工程师,1.0,UNKNOWN,无信号,,,,,
51job:173322316,AI产品经理,AI产品经理,1.0,UNKNOWN,无信号,,,,,
51job:173378186,AI产品经理,AI产品经理,1.0,UNKNOWN,无信号,,,,,
boss:01139080a8f5e02c,AI工程师实习（大数据方向）,大数据工程师,0.7,L1,职位名:实习,,,,,
boss:0b5156a602d9ab1c0nJ63di8GVZW,计算机视觉算法工程师,计算机视觉工程师,0.7,L2,经验要求:1-3年,,,,,
boss:0c324255bdd4e5570nJ52tq0FltY,大模型 Prompt 算法工程师,大模型算法工程师,0.7,L2,经验要求:1-3年,,,,,
boss:0fe16234e87748ad0nJ72tS1ElVS,大模型工程师,大模型算法工程师,0.7,L3,经验要求:3-5年,,,,,
boss:1173de14b79679140nFz3t-_E1JS,AI大模型全栈工程师,大模型算法工程师,0.7,L1,经验要求:经验不限,,,,,
boss:1b89b09239eb0679,AI工程师助理实习生（智能体产品运营方向）,AI Agent开发工程师,0.7,L1,职位名:助理,,,,,
boss:1f7c9fe166e1503b0nJ-2di7EFdQ,字某杰软件测试工程师-机器学习平台测试,NLP/多模态研究员,0.7,L3,经验要求:3-5年,,,,,
boss:228bdeda9ce5c25b0nJy2du5EVRV,AI Agent工程师,AI Agent开发工程师,0.7,L2,经验要求:1-3年,,,,,
boss:28e074631bff079803F929u-FFdU,AI Agent 开发工程师,AI Agent开发工程师,0.7,L3,经验要求:3-5年,,,,,
boss:38f9185e113f6d680nF83t6-EFNU,AI Agent工程师,AI Agent开发工程师,0.7,L1,经验要求:经验不限,,,,,
boss:39462377cbdb09f00ndy3NS1GVBS,AI Agent & RAG开发工程师（远程）,AI Agent开发工程师,0.7,L3,经验要求:3-5年,,,,,
boss:40a7a64f6e63fa880nF83N61E1tW,大模型算法工程师（多模态 RAG/Agent ）,大模型算法工程师,1.0,L2,经验要求:1-3年,,,,,
boss:4b7d8ea6e87a197e0nJ62925FltR,AI Agent工程师,AI Agent开发工程师,0.7,L1,经验要求:在校/应届,,,,,
boss:61217913318a6d710nJ80t-7FlNZ,多模态大模型算法工程师,大模型算法工程师,1.0,L1,经验要求:在校/应届,,,,,
boss:628318c5d9ed2dc00nJ-0tS_GVFS,AI Agent 工程师,AI Agent开发工程师,0.7,L3,经验要求:3-5年,,,,,
boss:732cdbe2a1f9d4ef1H1809i5EFBT,python机器学习实习生,NLP/多模态研究员,0.7,L1,职位名:实习,,,,,
boss:7022acafdebd35e70nR92NS6F1pQ,感知算法工程师-- 机器学习/视觉算法（L4）,NLP/多模态研究员,0.7,L1,经验要求:在校/应届,,,,,
boss:6e564fb451284c870nV62NW0FVdV,AI Agent 工程师,AI Agent开发工程师,0.7,L1,经验要求:经验不限,,,,,
boss:85507c1998015376,AI工程师-大模型算法（北京分公司）,大模型算法工程师,0.7,L3,经验要求:3-5年,,,,,
boss:805575293a1ebbe20ndy2d--F1tW,AI Agent工程师,AI Agent开发工程师,0.7,L2,经验要求:1-3年,,,,,
