jd_id,职位名,系统岗位id,method,映射正确?(对/错),修正岗位id,备注
bd:7398431932785445158,高级数据分析师（销售与经营分析）-抖音生活服务,pos_35,exact,,,
bd:7392874991916992795,视觉大模型算法工程师-国际电商,pos_01,exact,,,
bd:7589519601126983941,数据分析师-飞书,pos_35,exact,,,
bd:7508591404118690066,3D/动作-多模态大模型算法工程师-抖音V-AI-筋斗云人才计划,pos_01,exact,,,
bd:7515342746141346055,智能对话大模型算法工程师-广告业务-筋斗云人才计划,pos_01,exact,,,
bd:7507539231465638152,大模型算法工程师（推荐大模型）-剪映-筋斗云人才计划（北京/深圳）,pos_01,exact,,,
bd:7508785227227498759,推荐大模型算法工程师-生活服务-筋斗云人才计划（北京/上海/成都）,pos_01,exact,,,
bd:7640003367049169205,AI数据分析师（AI垂直场景）-集团信息系统,pos_35,exact,,,
bd:7532771362139769096,推荐大模型算法工程师-抖音,pos_01,exact,,,
bd:7533461633680738568,大模型算法工程师-技术风险,pos_01,exact,,,
bd:7668296211509709109,游戏数据分析师 - 深圳射击项目,pos_35,exact,,,
bd:7539978901369293063,推荐大模型算法工程师-Seed,pos_01,exact,,,
ali:100018480008,数据技术及产品部-多模态大模型算法工程师-杭州/北京,pos_01,exact,,,
bd:7537895749070407954,数据分析师（LATAM）-TikTok直播,pos_35,exact,,,
bd:7633291585450428725,大模型算法工程师（智能对话）-国际电商,pos_01,exact,,,
bd:7473065056743573778,增长策略产品经理实习生-抖音用户增长,pos_06,alias,,,
bd:7337971870409394459,算法工程师-搜索,pos_01,alias,,,
bd:7471195475161581842,机器学习推理框架研发实习生-Data AML,pos_01,alias,,,
tx:2074396169051746304,大数据平台后台开发工程师/技术专家(深圳/北京）,pos_11,alias,,,
bd:7467873599593482514,CV算法实习生-广告业务,pos_27,alias,,,
bd:7633459021907167493,Agent架构研发工程师/专家-AI Platform,pos_02,alias,,,
tx:2074111271069990912,腾讯云DataBuddy -大模型算法专家,pos_01,alias,,,
