jd_id,职位名,系统判定,判定理由,同意?(对/错),备注
boss:bf011ca4e323da00,ai工程师,True,AI应用工程化研发岗,,
boss:dd381b3c286b53bb0nJ90tS_GVJQ,A186342多模态大模型算法工程师-…,True,多模态大模型算法研发岗,,
51job:171271385,AI大模型应用开发工程师,True,AI大模型应用研发岗,,
boss:1b89b09239eb0679,AI工程师助理实习生（智能体产品运营方向）,True,AI产品运营与部署测试岗位,,
51job:168730784,AI算法工程师,True,大模型算法研发岗,,
51job:173151442,公司项目数据统计员,True,涉及AI项目数据全流程,,
boss:3811f0f834d42c500nR93dq9FlFZ,ai agent工程师,True,AI Agent 研发岗,,
boss:aae9cf55fad50e4a0nJy0tq6ElBR,AI应用工程师,True,AI应用与大模型算法岗,,
51job:173231255,AI应用部署工程师,True,大模型AI应用部署开发岗,,
51job:172670308,AI coding应用研发工程师,True,AI应用与Agent研发岗,,
51job:172031199,AI大模型工程师,True,大模型算法研发岗,,
boss:38f9185e113f6d680nF83t6-EFNU,AI Agent工程师,True,AI Agent与大模型应用研发岗,,
51job:170101146,AI产品经理,True,AI产品经理岗，负责人工智能产品设计,,
51job:170414794,算法业务推动岗,True,涉及算法交易与数据分析,,
51job:173143106,AI Engineer,True,AI算法研发岗,,
51job:172628414,项目资料员,True,负责人工智能项目文档管理,,
boss:1ca2d312e6477a920nF_3tS6EFVT,Agent/RAG工程师,True,RAG/Agent应用研发岗,,
51job:158252341,大模型算法工程师,True,大模型算法研发岗,,
51job:172676760,计算机 / AI 技术岗,True,AI基础项目落地与计算机研发岗,,
51job:172729937,博士后课题研究人员（农业保险） (MJ007421),True,遥感GIS数据与AI技术结合,,
51job:172331243,实习_Agent研发工程师,True,AI原生开发平台Agent研发岗,,
51job:173376388,规划控制算法实习生,True,自动驾驶算法实习生,,
boss:df87bdf4925872a20nF539-4ElJU,多模态大模型评测工程师【音视频方向】,True,多模态大模型评测技术岗,,
51job:173176782,AI开发工程师(J10797),True,AI开发工程师，涉及大模型与智能体,,
51job:172331262,实习_多智能体研发工程师,True,多智能体研发工程师属于AI技术岗,,
boss:a3cde265e49c4a040nd-29y-GFpU,AI应用工程师,True,AI应用开发与落地岗位,,
51job:171476038,AI应用开发工程师（应届）,True,AI应用开发与Agent设计岗位,,
51job:172490214,AI实习生,True,AI与自动化技术实习岗,,
boss:5fc779dc1f4c77d5,应用AI工程师,True,AI智能助手应用研发岗,,
boss:bf72a50ef74153b00nBy092-FFZS,网络安全算法工程师,True,AI应用于网络安全攻防算法研发,,
51job:169077861,AI算法实习生 (谱图识别方向),True,AI算法研发岗，涉及大模型与谱图识别,,
51job:173358665,AI应用开发工程师,True,大模型应用开发与AI算法岗,,
51job:172055674,JAVA软件开发工程师(RD19),True,软件开发与AI工具应用岗,,
51job:170609892,技术产品实习生（AI基础与应用方向）-中国交易与广告,True,大模型应用与Agent产品岗,,
51job:171352340,ai研发工程师,True,大模型与AI研发岗,,
51job:173150065,助理工料测计师,False,工程建造造价岗位，非AI相关,,
51job:170013941,初级售前工程师（应届毕业生）,False,售前工程岗偏传统测绘行业,,
51job:173093686,系统测试工程师（26年应届生）,False,传统系统测试岗，非AI数字技术,,
51job:173159117,配音兼职可居家录制,False,有声小说配音兼职,,
51job:153542528,书法、绘画教师,False,美术教师岗位，非数字技术岗,,
51job:153321666,结构设计工程师,False,传统机械结构设计岗位,,
51job:171963688,安装员,False,该职位为实体展示架安装，非AI数字技术岗,,
51job:172629280,Scrubber工程师,False,半导体设备维护岗，非AI/数字技术,,
51job:152330785,插画师,False,传统平面礼品设计岗,,
51job:168184902,投诉管理-26校招(J78215),False,金融保险消费者权益保护岗,,
51job:171401824,测试技术员,False,硬件测试岗位，非AI/数字技术岗,,
51job:166841092,平面設計師（IP衍生品）,False,平面设计岗，非AI/数字技术岗,,
51job:170387934,销售支持岗（产品经理方向）(J10023),False,保险产品运营支持岗，非AI技术岗,,
51job:173314995,咖啡师(深圳万象城）,False,咖啡师非数字技术岗位,,
51job:172954018,IQC,False,传统制造业质检岗位,,
