jd_id,职位名,系统岗位id,method,映射正确?(对/错),修正岗位id,备注
boss:61217913318a6d710nJ80t-7FlNZ,多模态大模型算法工程师,pos_01,exact,,,
51job:172791400,AI大模型算法工程师,pos_01,exact,,,
51job:171666434,数据分析师,pos_35,exact,,,
51job:173219809,大模型算法工程师,pos_01,exact,,,
boss:dd381b3c286b53bb0nJ90tS_GVJQ,A186342多模态大模型算法工程师-…,pos_01,exact,,,
51job:173378186,AI产品经理,pos_06,exact,,,
51job:173146990,AI产品经理 / AI产品助理,pos_06,exact,,,
51job:173322316,AI产品经理,pos_06,exact,,,
51job:170053129,AI产品经理,pos_06,exact,,,
51job:169861700,AI产品经理-26校招(J78207),pos_06,exact,,,
51job:158252341,大模型算法工程师,pos_01,exact,,,
51job:169166573,AI产品经理,pos_06,exact,,,
51job:171251713,AI产品经理,pos_06,exact,,,
boss:40a7a64f6e63fa880nF83N61E1tW,大模型算法工程师（多模态 RAG/Agent ）,pos_01,exact,,,
51job:173290176,大模型算法工程师,pos_01,exact,,,
51job:172837220,Agent应用开发（实习生）,pos_02,alias,,,
boss:f31610ec19a1f31b0nJ62N2_ElNY,【机器学习工程师】【实习岗】远程办公,pos_04,alias,,,
51job:172319480,具身智能产品经理,pos_06,alias,,,
boss:39462377cbdb09f00ndy3NS1GVBS,AI Agent & RAG开发工程师（远程）,pos_02,alias,,,
boss:ed4940c732a2a47b0nJ52NS8FVZZ,AI Agent工程师,pos_02,alias,,,
boss:0b5156a602d9ab1c0nJ63di8GVZW,计算机视觉算法工程师,pos_27,alias,,,
boss:f97e65366a4aaa220nJy09-9FlJU,大模型应用与RAG优化工程师,pos_01,alias,,,
51job:171900881,AI大模型研发工程师,pos_01,alias,,,
51job:170770580,AI Agent 开发实习生,pos_02,alias,,,
51job:171150822,应届生-智能体开发工程师-杭州,pos_02,alias,,,
51job:172031199,AI大模型工程师,pos_01,alias,,,
boss:1ca2d312e6477a920nF_3tS6EFVT,Agent/RAG工程师,pos_02,alias,,,
boss:0c324255bdd4e5570nJ52tq0FltY,大模型 Prompt 算法工程师,pos_01,alias,,,
51job:170289170,AI智能体开发工程师,pos_02,alias,,,
boss:c5b94a42a90344510nBy2Ny5GVBU,AI工程师机器学习工程师 算法工程师（赴日,pos_04,alias,,,
boss:0fe16234e87748ad0nJ72tS1ElVS,大模型工程师,pos_01,alias,,,
boss:7022acafdebd35e70nR92NS6F1pQ,感知算法工程师-- 机器学习/视觉算法（L4）,pos_04,alias,,,
51job:172789342,骑行-数据开发工程师,pos_11,alias,,,
51job:172167131,Python智能体开发工程师,pos_02,alias,,,
51job:169590181,机器学习工程师（物理仿真）(J10037),pos_04,alias,,,
boss:d4e0b0b425d5ed6d0nB-09q-FlBR,ai应用工程师｜LLM/RAG/MCP｜智慧工厂,pos_01,alias,,,
boss:dff114f6dd6084050nJ93NW0FFJY,多模态 / Omni 大模型工程师,pos_01,alias,,,
boss:df87bdf4925872a20nF539-4ElJU,多模态大模型评测工程师【音视频方向】,pos_01,alias,,,
boss:dbdd9948a8565c9b0nB_3tq7E1NS,大模型工程师,pos_01,alias,,,
boss:1f7c9fe166e1503b0nJ-2di7EFdQ,字某杰软件测试工程师-机器学习平台测试,pos_04,alias,,,
boss:4cb7273c76e7c3a6,应用 AI 工程师(应届 / 实习),pos_02,llm,,,
51job:173269064,AI应用工程师(工作地点：苏州)(J10653),pos_27,llm,,,
51job:172312058,AI技术研发工程师(J13320),pos_01,llm,,,
boss:b6ff7b8b213470460nJ43Nm-FVFV,AI应用部署工程师,pos_05,llm,,,
51job:170012552,南京-智慧交通/算法类,pos_44,llm,,,
boss:5ca31e3018f05eec1X1-2tu4EFpT,算法工程师,pos_01,llm,,,
